Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
ABANICO,,ABANICO,0.0,176.0,900.0,0.0,,,,176.0,
ADORNO CELULAR,,ADORNO CELULAR,0.0,0.0,450.0,0.0,,,,0.0,
,,ADORNO COLGANTE HALLOWEEN,0.0,0.0,3000.0,0.0,,,,0.0,
,,ADORNO HALLOWEEN,20.0,0.0,600.0,0.0,,,,0.0,
,,ADORNO NAV 1,0.0,0.0,500.0,0.0,,,,0.0,
,,ADORNO NAV 2,0.0,0.0,550.0,0.0,,,,0.0,
,,ADORNO NAV 3,3.0,0.0,450.0,0.0,,,,0.0,
,,ADORNO NAV 4,2.0,0.0,700.0,0.0,,,,0.0,
,,ADORNO NAV 5,0.0,0.0,800.0,0.0,,,,0.0,
,,ADORNO NAV 6,0.0,0.0,800.0,0.0,,,,0.0,
ADORNO NAV GRANDE,,ADORNO NAV GRANDE,0.0,0.0,500.0,0.0,,,,0.0,
ADORNO NAV PQTE,,ADORNO NAV PQTE,80.0,0.0,800.0,0.0,,,,0.0,
,,ADORNO NAV PUERTA,0.0,0.0,400.0,0.0,,,,0.0,
,,ADORNO NAV PUERTA 1,0.0,0.0,500.0,0.0,,,,0.0,
,,ADORNO PUERTA HALLOWEEN,4.0,0.0,2500.0,0.0,,,,0.0,
,,ADORNO PUERTA HALLOWEEN 2,1.0,0.0,3000.0,0.0,,,,0.0,
ADORNO SOLAR,,ADORNO SOLAR,0.0,430.0,1500.0,0.0,,,,430.0,
,,AJUSTADOR SILICONA,0.0,0.0,2500.0,0.0,,,,0.0,
ALFOMBRA,,ALFOMBRA,0.0,400.0,1500.0,0.0,,,,400.0,
ALICATE,,ALICATE,0.0,190.0,500.0,0.0,,,,190.0,
ANILLO LOVE,,ANILLO LOVE,0.0,69.0,250.0,0.0,,,,69.0,
,,ANILLOS 1,0.0,0.0,1500.0,0.0,,,,0.0,
ANILLOS,,ANILLOS 2,0.0,445.0,2000.0,0.0,,,,445.0,
,,ANILLOS NIÑA,0.0,0.0,300.0,0.0,,,,0.0,
PLICADORES OÍDOS,,APLICADORES OÍDOS 1,0.0,93.0,550.0,0.0,,,,88.35,
,,APLICADORES OÍDOS 2,3.0,0.0,2000.0,0.0,,,,0.0,
ARBOLITO INFLABLE,,ARBOLITO INFLABLE,0.0,850.0,3000.0,0.0,,,,850.0,
ARETES ACERO,,ARETES ACERO,26.0,0.0,1400.0,0.0,,,,0.0,
PAR ARETES,,ARETES ACERO 2,0.0,93.0,2200.0,0.0,,,,93.0,
,,ARETES DIAMANTES,0.0,0.0,400.0,0.0,,,,0.0,
,,ARETES PERLA,18.0,0.0,300.0,0.0,,,,0.0,
ARGOLLAS MED,,ARGOLLAS ACERO,3.0,0.0,2000.0,0.0,,,,0.0,
ARGOLLAS CHICAS,,ARGOLLAS CHICAS,0.0,0.0,1500.0,0.0,,,,0.0,
ARGOLLAS GRANDES,,ARGOLLAS GRANDES 2,0.0,0.0,2000.0,0.0,,,,0.0,
AUDÍFONOS 1,,AUDÍFONOS 1,0.0,200.0,1500.0,1.0,,,,200.0,
,,BABY YODA PELUCHE CHICO,0.0,0.0,7500.0,0.0,,,,0.0,
,,BABY YODA PELUCHE GRANDE,0.0,0.0,10000.0,0.0,,,,0.0,
BASE 1,,BASE 1,0.0,230.0,2200.0,1.0,,,,230.0,
BASE 2,,BASE 2,16.0,130.0,750.0,0.0,,,,130.0,
,,BASE CON PROTECTOR,0.0,0.0,950.0,0.0,,,,0.0,
BEBÉ YODA,,BEBÉ YODA,0.0,10500.0,32700.0,0.0,,,,10500.0,
BILLETERA,,BILLETERA,0.0,778.0,2500.0,0.0,,,,778.0,
,,BLOQUE UÑAS,5.0,0.0,500.0,0.0,,,,0.0,
BLUMER M,,BLUMER M,0.0,370.0,1500.0,0.0,,,,370.0,
,,BLUSAS 1,7.0,0.0,3500.0,0.0,,,,0.0,
,,BLUSAS 2,0.0,0.0,4500.0,0.0,,,,0.0,
,,BLUSAS ENCAJE,6.0,0.0,3500.0,0.0,,,,0.0,
BOCINA,,BOCINA,0.0,1334.0,5000.0,0.0,,,,1334.0,
BODY TRANSPARENTE,,BODY TRANSPARENTE,0.0,514.0,2500.0,2.0,,,,514.0,
,,BOLA POKEMON,0.0,0.0,1200.0,0.0,,,,0.0,
,,BOLSA M CHICA,0.0,0.0,4500.0,0.0,,,,0.0,
,,BOLSA M MEDIANA,0.0,0.0,3850.0,0.0,,,,0.0,
,,BOLSA NAV GRANDE,0.0,0.0,600.0,0.0,,,,0.0,
,,BOLSA REG MED,0.0,0.0,250.0,0.0,,,,0.0,
BOLSA REGALO CHICA,,BOLSA REGALO CHICA,113.0,12.0,150.0,0.0,,,,12.0,
BOLSA REGALO GRANDE,,BOLSA REGALO GRANDE,0.0,238.0,1000.0,0.0,,,,238.0,
,,BOLSA REGALO HALLOWEEN,0.0,0.0,350.0,0.0,,,,0.0,
,,BOLSA REGALO NAV,0.0,0.0,200.0,0.0,,,,0.0,
BOLSITO UNISEX,,BOLSITO UNISEX,0.0,3518.0,12000.0,0.0,,,,3518.0,
BOLSO H MANO,,BOLSO H MANO,0.0,1445.0,6500.0,0.0,,,,1445.0,
,,BOLSO H MANO 2,0.0,0.0,7500.0,0.0,,,,0.0,
,,BOLSO H PIERNA,0.0,0.0,5500.0,0.0,,,,0.0,
,,BOLSO HOMBRE,0.0,0.0,5500.0,0.0,,,,0.0,
,,BOLSO MUJER,0.0,0.0,6800.0,0.0,,,,0.0,
BOLSO NIÑO MANO,,BOLSO NIÑO MANO,0.0,780.0,3000.0,0.0,,,,780.0,
BOLSOS 1,,BOLSOS 1,0.0,1400.0,2200.0,1.0,,,,1400.0,
BOLSOS 2,,BOLSOS 2,0.0,800.0,3200.0,1.0,,,,800.0,
BOLSOS VOGUE,,BOLSOS VOGUE,0.0,850.0,2500.0,0.0,,,,850.0,
,,BOTA NAV CHICA,1.0,0.0,800.0,0.0,,,,0.0,
,,BOTA NAV GRANDE,0.0,0.0,2100.0,0.0,,,,0.0,
,,BOTA NAV MEDIANA,0.0,0.0,1750.0,0.0,,,,0.0,
BRILLO LISO 1,,BRILLO LISO 1,12.0,213.0,950.0,1.0,,,,213.0,
BRILLO LISO 5,,BRILLO LISO 2,8.0,148.0,700.0,0.0,,,,148.0,
,,BRILLO LISO 3,12.0,0.0,1100.0,0.0,,,,0.0,
BRILLO LISO 4,,BRILLO LISO 4,41.0,167.0,850.0,0.0,,,,167.0,
,,BRILLO LISO 5,0.0,0.0,1200.0,0.0,,,,0.0,
,,BRILLO LISO 6,0.0,0.0,1300.0,0.0,,,,0.0,
,,BRILLO LISO 7,3.0,0.0,1400.0,0.0,,,,0.0,
,,BRILLO LISO 8,28.0,0.0,1800.0,0.0,,,,0.0,
,,BRILLO LISO DIOR,0.0,0.0,950.0,0.0,,,,0.0,
BROCHA BASE,,BROCHA BASE,0.0,130.0,950.0,0.0,,,,130.0,
,,BROCHAS 1,0.0,0.0,250.0,0.0,,,,0.0,
,,BROCHAS 2,0.0,0.0,500.0,0.0,,,,0.0,
,,BROCHAS 3,0.0,0.0,750.0,0.0,,,,0.0,
,,BROCHAS 4D,5.0,0.0,600.0,0.0,,,,0.0,
BUFANDA ADULTO,,BUFANDA ADULTO,0.0,215.0,950.0,1.0,,,,215.0,
,,BÁLSAMO 1,0.0,0.0,500.0,0.0,,,,0.0,
,,BÁLSAMO 2,0.0,0.0,550.0,0.0,,,,0.0,
BÁLSAMO,,BÁLSAMO 3,36.0,120.0,600.0,0.0,,,,120.0,
BÁLSAMO 2,,BÁLSAMO 4,12.0,195.0,700.0,0.0,,,,195.0,
,,BÁLSAMO 5,0.0,0.0,850.0,0.0,,,,0.0,
,,BÁLSAMO 6,18.0,0.0,1100.0,0.0,,,,0.0,
,,BÁLSAMO 7,23.0,0.0,800.0,0.0,,,,0.0,
,,BÁLSAMO 8,6.0,0.0,1050.0,0.0,,,,0.0,
,,BÁLSAMO DIOR 1,18.0,0.0,1200.0,0.0,,,,0.0,
,,BÁLSAMO DIOR 2,12.0,0.0,1800.0,0.0,,,,0.0,
CADENA 1,,CADENA 1,0.0,521.0,1500.0,0.0,,,,521.0,
CADENA 2,,CADENA ACERO,0.0,1303.0,2000.0,0.0,,,,1303.0,
,,CADENA MUJER,0.0,0.0,2500.0,0.0,,,,0.0,
,,CAJA PLUMONES,0.0,0.0,18250.0,0.0,,,,0.0,
CALZONCILLO H,,CALZONCILLO H,0.0,208.0,750.0,0.0,,,,208.0,
CAMA PERRO CHICA,,CAMA PERRO CHICA,0.0,1800.0,4600.0,0.0,,,,1800.0,
CAMA PERRO MED,,CAMA PERRO MED,0.0,2100.0,4800.0,0.0,,,,2100.0,
,,CARABELA MINI,30.0,0.0,500.0,0.0,,,,0.0,
CARRITOS,,CARRITOS,0.0,0.0,500.0,0.0,,,,0.0,
CARTAS,,CARTAS,0.0,240.0,850.0,1.0,,,,240.0,
CARTERA DE NIÑA,,CARTERA DE NIÑA,0.0,1800.0,3600.0,0.0,,,,1800.0,
CARTERA H 1,,CARTERA H 1,0.0,2866.0,10500.0,0.0,,,,2866.0,
CARTERA H CHICA,,CARTERA H CHICA 1,0.0,1112.0,3500.0,0.0,,,,1134.88,
,,CARTERA H CHICA 2,0.0,0.0,5850.0,0.0,,,,0.0,
CARTERA H DANIEL,,CARTERA H DANIEL,0.0,1100.0,3500.0,1.0,,,,1100.0,
CARTERA H GRANDE,,CARTERA H GRANDE,0.0,1778.0,7000.0,0.0,,,,1778.0,
CARTERA H MED,,CARTERA H MED,0.0,1334.0,6000.0,0.0,,,,1334.0,
