Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
ABANICO,,ABANICO,0.0,0.0,900.0,0.0,,,,0.0,
,,ADORNO COLGANTE HALLOWEEN,0.0,0.0,3000.0,0.0,,,,0.0,
,,ADORNO HALLOWEEN,0.0,0.0,600.0,0.0,,,,0.0,
ADORNO NAV 1,,ADORNO NAV 1,0.0,0.0,450.0,0.0,,,,0.0,
ADORNO NAV 2,,ADORNO NAV 2,4.0,0.0,550.0,0.0,,,,0.0,
ADORNO NAV 3,,ADORNO NAV 3,3.0,0.0,700.0,0.0,,,,0.0,
ADORNO NAV 4,,ADORNO NAV 4,12.0,0.0,800.0,0.0,,,,0.0,
ADORNO NAV GRANDE,,ADORNO NAV GRANDE,3.0,0.0,500.0,2.0,,,,0.0,
ADORNO NAV PQTE,,ADORNO NAV PQTE,11.0,0.0,800.0,2.0,,,,0.0,
,,ADORNO PUERTA HALLOWEEN 1,0.0,0.0,2500.0,0.0,,,,0.0,
,,ADORNO PUERTA HALLOWEEN 2,0.0,0.0,3000.0,0.0,,,,0.0,
ADORNO SOLAR,,ADORNO SOLAR,0.0,0.0,1500.0,1.0,,,,0.0,
ALFOMBRAS,,ALFOMBRAS,0.0,0.0,1500.0,1.0,,,,0.0,
,,ANILLOS 1,14.0,0.0,1500.0,0.0,,,,0.0,
ANILLOS,,ANILLOS 2,29.0,0.0,2000.0,2.0,,,,0.0,
,,ANILLOS NIÑA,15.0,0.0,300.0,0.0,,,,0.0,
APLICADORES OÍDOS,,APLICADORES OÍDOS,5.0,0.0,550.0,0.0,,,,0.0,
ARBOLITO INFLABLE,,ARBOLITO INFLABLE,0.0,0.0,3000.0,1.0,,,,0.0,
,,ARETES ACERO,9.0,130.0,2200.0,0.0,,,,130.0,
,,ARETES ACERO CHICOS,4.0,0.0,900.0,0.0,,,,0.0,
,,ARETES ACERO CHICOS 1,31.0,0.0,1400.0,0.0,,,,0.0,
,,ARETES DIAMANTE,0.0,0.0,300.0,0.0,,,,0.0,
,,ARETES PERLA,16.0,0.0,300.0,0.0,,,,0.0,
ARGOLLA MED,,ARGOLLA MED,0.0,162.0,800.0,1.0,,,,97.2,
